payer,receiver,amount
861002,1114961,71452.07
124346,1207082,30386.91
385538,1232045,47025.86
861002,1118262,116448.54
212494,28473,77745.32
189541,1081210,40750.18
508191,1091391,30097.47
166378,151263,16484.71
190459,175199,24859.75
518019,741421,54896.01
198164,1104686,65449.7
56096,1454451,33871.13
74156,1157613,48921.81
109781,981547,55493.8
81786,991156,32513.97
86893,398814,31638.55
658851,1054081,30786.8
143345,53532,43647.28
171281,1077280,36492.09
185504,1081210,55575.05
26575,160367,24555.37
455048,131706,28436.4
135598,1266439,35250.97
192082,1056433,27726.87
308898,72925,32430.21
26051,133496,29850.4
62917,110024,29309.12
234493,1114961,36352.49
648524,159075,28152.09
13211,1507078,32152.77
171281,996164,88665.39
450998,184826,36623.98
94111,329503,32490.41
413130,194248,42413.86
237052,1307772,24394.42
238100,1593446,25091.82
149242,35615,100430.79
469906,856253,57228.52
207834,1301833,32846.93
251160,1056433,105801.44
192082,167498,63742.93
30739,794653,30613.18
103806,5245,36880.95
13168,250726,25273.45
565791,231192,66465.03
66085,154010,30741.44
40385,832323,78405.76
229943,79499,32911.03
171169,1121361,60066.1
50048,1431270,28979.81
189783,3355,24439.04
207471,75455,21910.26
136670,599339,77932.25
11248,1219734,29698.25
289986,31329,60810.63
27131,946188,30942.51
241514,259083,69851.03
84633,987843,62971.38
62207,460680,47290.82
454609,1207143,37983.75
171282,1289639,59074.13
560493,1524611,83549.34
587380,1291922,73939.16
253756,988051,31080.47
51739,1014142,28961.74
537223,1130131,34074.24
76426,1130230,88320.64
283455,1315505,65409.3
230689,232239,46700.53
20087,261562,70162.22
231824,1196703,22024.12
804266,195723,28520.89
648524,201254,36752.25
100394,1175335,23148.37
49685,637711,31565.46
236714,4986,50994.84
823354,952604,33293.42
214955,261666,57059.55
55471,47002,30427.34
200026,1404583,66567.86
99270,713973,82555.2
385381,371349,61579.91
89759,236488,37751.17
804266,405337,61688.02
171281,1034428,27251.75
455048,180988,112903.56
164207,1054002,46216.09
243010,1139393,72129.58
233682,71279,24739.21
196022,1317298,86484.71
26895,218443,25930.53
76426,1394092,30586.37
190329,1358761,97939.57
79024,161704,36136.7
240626,1194130,32343.86
125503,968394,35925.5
238319,232331,13028.53
102806,1303802,26613.49
103850,991929,27904.27
25325,737060,39877.71
245121,649611,33430.88
6277,338263,32259.92
229766,1217306,35442.59
230891,291211,58992.86
235412,1058530,31831.19
125422,1084608,65186.41
241514,663676,29822.86
859194,992598,31941.26
77137,1250393,59386.08
200742,181054,29375.45
185867,159075,53680.03
651054,1034591,70126.27
143377,145525,22200.33
117280,915222,77287.68
176906,800713,27768.74
217478,72782,37183.5
260001,1266208,71275.67
13698,1518935,81084.22
212407,433717,31633.39
29318,1070190,54197.74
470301,300205,28486
327418,1204158,36369.2
172237,1328627,25140.48
157426,1245988,26810.27
137957,1250847,32397.32
94641,637259,28199.47
212484,1437986,34513.47
77566,1304231,64430.77
120936,180042,35337.59
177795,1084796,31396.52
126125,1158386,52865.69
129270,957791,32129.54
95358,982301,21958.19
143014,178827,51771.4
181783,69867,26485.4
881285,168401,30942.74
82759,1175335,124892.47
149731,1207082,67380.39
694328,1475890,66194.37
108064,1145496,84314.39
198164,1245834,29869.5
162685,1098598,95414.91
163507,430541,48051.47
239763,413097,68030.8
42008,218822,73621.22
909204,12103,43268.74
48083,1355535,27780.28
177611,1014321,72619.8
