payer,receiver,amount
640057,1163491,51577.25
172237,94622,89738.72
193036,120673,31663.33
670968,1253163,56464.24
209941,1219734,25691.95
268482,116640,23115.2
120697,1154783,40127.72
135399,1140253,21326.05
55405,1334178,30989.01
548854,402232,62531.71
275552,196831,26018.85
112523,1026985,57734.46
13290,120673,32899.85
60646,19363,25916.14
669321,93222,78981.54
751097,1148624,23955.46
41535,1017926,81470.23
455048,1120896,26038.95
48216,247290,60786.1
504964,179225,24161.06
64178,596867,27755.92
143654,145098,34608.3
504964,1076617,104159.38
259581,104091,75134.96
93754,1182871,34997.54
123227,24082,36567.87
81583,1019015,26620.5
95207,170812,34795.49
212199,168374,44043.23
100073,473781,30929.5
80097,1185616,60792.62
186284,1145643,48303.56
198228,1175075,29893.34
43572,90085,31569.34
903750,227195,23078.81
221899,249684,44816.44
66679,812627,57158.65
3014,87552,39865.36
493952,1118262,127606.27
269189,130058,94100.58
41410,1266628,28808.86
129995,1415856,29198.47
514726,1180312,69977.52
212386,1088869,34319.13
36298,1423569,80142.38
13380,1047128,35915.32
261326,82574,45072.16
167464,1027095,56498.14
196428,1526562,37613.33
234687,234182,98970.99
67437,1579839,27952.43
194171,1518935,29128.43
30237,1000618,35819.7
79802,506484,25687.7
237052,532691,34883.91
146543,1357307,32740.21
223171,405751,36406.45
209375,1422949,77686.24
104091,1034248,62609.29
64352,1026061,79934.92
71462,53532,28884.7
161670,376087,99464.26
200026,1462888,57200.89
17823,957262,38610.25
116570,170333,30301.6
171582,1004528,39907.76
62711,967161,25704.07
150217,467469,54840.28
85,1054094,34444.79
217478,1480003,23793.42
65807,231432,30050.6
114381,1273137,31958.48
605101,946889,53836.11
13380,1157456,32798.62
1125122,231432,29418.89
174686,328550,71595.67
46339,1094599,31054.29
102784,1070190,31912.96
107223,1248574,77595.72
102736,1000095,33299.63
219066,1038294,63097.26
174261,1062324,36824.93
140729,1549494,36795.55
157543,115715,62684.04
652831,349275,71141.18
141846,6968,26587.92
245085,552063,103638.51
122075,1130767,31227.54
268603,1319338,34736.42
35122,340449,89218.48
256086,430541,65473.17
623864,1321237,31126.1
208149,1369007,27742.44
89759,564484,30985.47
253756,86008,36357.34
35397,62456,68419.09
41100,528970,35159.58
654689,201254,30181.9
227896,1136595,29796.96
91791,217204,21779.35
26575,98343,28314.38
11046,241962,32712.01
154487,398814,34672.42
11415,104033,30998.29
186652,405323,75838.72
23140,248856,30082.68
141544,952130,32959.95
548854,976765,74490.8
64352,26402,28357.56
268631,261666,35374.86
64178,262261,70112.06
283251,648788,40905.51
14442,1233994,33458.29
308898,1480370,31570.52
678827,1163656,32353.18
1375,433717,99342.82
148167,973027,93834.73
66216,1077587,84727.99
35122,13251,88154.18
136840,1253163,22375.67
247162,648788,35666.08
626321,1315796,101616.85
151361,1130844,37038.18
138857,66570,26317.67
268857,982497,79730.58
223947,37472,89232.25
147566,1243708,25439.88
212199,1091587,23388.04
260001,1062769,26046.12
135269,136217,33844.28
59547,617517,29305.75
10516,794252,69390.8
38681,961757,94155.97
61044,54873,33995.34
182021,455508,86903.17
1125122,1270662,30018.93
67927,1026220,28838.18
202017,737060,49617.34
688692,3355,68382.9
40955,592136,32037.31
188443,32585,25192.38
11046,977221,33138.53
198164,290390,65473.73
125503,4986,29729.84
438916,144039,31927.61
11215,101772,65232.46
146171,953314,44863.4
57216,29879,68036.73
241143,1108787,33230.36
349701,28985,64098.7
78946,253556,32594.76
49588,997196,28780.56
141175,203833,26540.65
172845,152274,90474.35
4635,1018369,45235.19
105668,1018305,29641.25
258561,1031463,65724.65
170513,1196703,28058.31
684934,1065643,30723.16
136217,260076,66210.59
232533,1279076,31978.89
250327,1098634,62742.8
198274,963265,28269.52
124121,549712,63191.9
203818,957074,23989.43
186652,127903,62713.12
259581,261562,85223.72
123356,947230,66799.26
154681,1097963,32989.72
41680,946485,29876.45
210028,953141,115798.89
177611,1140111,46535.01
197182,1022833,78436.86
161018,288866,29780.67
21872,18310,35212.95
4635,890964,49685.3
91254,946485,29295.12
93120,1069669,74942.43
778664,405337,33247.32
536868,637259,79052.79
142829,1014421,35042.22
1555955,1304231,25846.64
114453,1308090,22077.09
42343,356737,36101.76
250022,23838,61893.46
218081,604882,27179.46
4424,1022396,57035.35
36279,4986,56097.62
93598,32553,66410.3
112771,488785,37070.63
32510,1055047,28186.43
205496,1576801,46748.48
283251,177795,31579.39
74803,1104781,22226.68
102806,158329,24149.8
446804,1000252,55835.88
225103,83308,37198.01
197771,943097,31177.02
248095,981655,83585.84
152876,522952,54155.32
203033,708896,26867.54
76745,1587547,51177.64
187290,44605,24869
778664,1104781,96754.33
253448,633675,37534.8
259304,149399,102906.44
126161,462730,55397.29
218081,212441,27643.27
889177,95496,34735.48
308898,856253,32726.03
150572,1360653,78533.96
186046,1043347,31784.1
59547,1004582,56871.22
251417,1070258,29787.6
129119,232533,84701.79
421788,896648,37894.07
18456,987959,76824.43
505018,464630,31170.17
84968,23064,27777.39
231996,5505,32141.37
18753,1042460,34568.83
738311,947600,23942.77
94641,54337,54823.74
84893,973027,30399.41
97291,947230,48654.43
108194,231432,37920.08
701537,967003,55594.28
640057,1034428,38639.84
1063349,36922,66167.13
404663,80073,55111.56
207834,222700,78832.41
50048,402232,81197.71
42553,1127925,34381.28
225103,1415856,32116.21
527424,972145,24428.38
121250,157025,29909.15
231747,78715,54727.77
185599,1154601,28400.08
684884,946875,94792.4
112907,206541,29767.27
219041,1050802,61960
536576,406420,37730.56
232484,1236301,30994.17
477317,1443126,62265.4
145146,1046867,34299.43
25217,1127802,36335.57
59345,37472,28602.57
92967,300205,32760.03
64957,1019011,62129.44
344774,4986,32630.44
1123931,17758,57479.99
45914,588562,33970.67
185531,66022,75738.23
220436,210938,26230.18
477317,12103,83854.7
19118,1088412,25378.97
189644,1058111,37390.95
17668,142268,33342.5
17719,1241556,35194.62
381132,967647,59201.76
23344,972815,22402.41
779788,1239207,25177.84
146543,241634,34521.83
100908,1407439,33008.55
251364,991144,41392.36
148026,915222,37257.46
181681,106147,31676.64
669321,190198,72270.04
158918,473781,72490.47
236326,1076613,28946.11
240504,1579839,26767.27
120936,105036,31954.55
112912,594946,78315.56
161835,290159,29608.66
128353,68399,64660.89
35048,127214,32344.99
198274,1178111,66124.31
224692,142943,32344.84
296743,328701,88926
775829,1130494,60484.49
87921,342762,30411.75
142058,962843,33555.95
223677,1087654,72542.44
143377,80849,42503.98
91254,978192,33116.79
231634,981547,31859.34
64178,90560,29634.29
267138,1017804,32877.47
247088,1549483,100263.56
209941,364238,30788.68
156053,946830,33003.9
115887,1454451,29870.02
795583,1236866,64486.85
217175,56227,24069.83
260344,261666,106693.79
487669,181872,54601.41
260336,1062307,34810.59
88541,532691,30092.55
416447,1130494,36326.98
170879,1091587,21624.33
67526,1221709,88425.44
164835,1264108,30547.66
154898,1360653,84799.86
59255,1062555,38226.83
29720,247290,25091.93
91254,155031,47797.64
40136,609388,75890.63
225272,1175075,30814.67
654971,963502,57419.42
24021,90232,36781.72
50038,1207374,32118.47
336178,978398,63233.48
470355,306855,34720.99
212494,530938,33093.57
438595,148573,46597.21
219066,1145496,43916.63
71789,1449312,61850.55
225928,952503,34915.73
462928,1336336,28192.78
214867,195301,32135.58
114381,43654,36350.31
67081,1270662,50484.49
42965,174912,51554.61
303255,1145496,74477.97
61251,1130844,46423.55
246357,958288,37715.21
81583,110024,24113.92
62303,62456,47954.03
136196,1222140,39829.51
22882,137481,72607.76
212903,301282,31186.07
115077,17749,27446.55
675086,958288,28875.59
188893,202742,28230.06
253625,1394092,37884.69
239763,1010064,35407.81
801840,1234412,27394.2
268347,109617,71463.6
49872,1534125,56314.18
320989,192080,26566.53
77238,1359096,81112.69
150818,963212,41608.47
116570,1400179,34751.91
217083,1369007,65946.33
238319,125408,79757.39
106338,1311758,59720.66
940877,1373678,32041.73
861002,18310,67525.78
303034,94622,31357.55
831062,157025,29467.99
416447,68606,49934.02
224692,67989,35455.6
74435,1069397,78538.71
196022,1454665,28351.31
111000,1549349,57243.71
349738,1142864,31127.08
730518,1287626,74809.64
59834,1166065,30239.33
168396,13016,97389.56
49872,957074,30906.77
560493,87528,53624.74
16072,20302,33556.13
107418,315248,29505.96
1063349,106147,75204.88
146171,1062263,53247.49
801840,1201402,22607.13
518019,251904,77554.92
321052,228811,102496.88
190553,1206699,48276.64
32133,1062263,27118.35
111699,1190931,44064.87
230689,222700,67950.83
194017,1091391,30014.58
861002,202999,32318.05
302937,199224,63988.43
640055,184448,23616.63
537223,116418,49418.94
350127,1127196,30038.91
105668,961757,22672.61
144955,47672,27631.22
6120,1101364,83295.28
889177,571335,27786.51
14039,212625,50833.36
41680,947127,61578.5
54676,945780,35498.75
180244,1201719,30828.32
7274,96843,25657.75
163343,84517,26914.49
177611,951555,26085.2
202426,1319338,109237.59
11046,488785,30325.14
93754,175199,67611.97
218443,1026605,24870.27
268347,1404583,24726.72
87859,1359096,24574.66
33279,310741,37976.59
63724,13016,41291.76
231634,187148,29734.9
395342,1222140,83465.51
678359,154309,27223.32
296779,253012,32756.42
148120,972376,80977.13
470148,488785,94309.07
511372,262063,28724.95
24859,1534125,46671.31
227896,1190931,33113.62
147217,458777,36288.06
8576,947254,65949.82
177056,1348676,26966.78
321619,1480003,39832.46
268525,146225,71496.88
1191209,85655,28411.12
259304,791022,95699.28
194208,952503,74361.82
96125,484778,39869.68
174261,74388,49308.21
89178,1157725,54809.77
537223,1127111,40278.74
168119,54595,69894.35
102736,947560,32022.06
109781,67927,36465.02
435287,263818,72394.43
109582,973027,75896.82
60743,1123852,52915.75
303267,1489277,25421.75
207471,1311805,28688.59
211153,67707,30419.37
14888,1053957,31827.56
32844,1503203,41864.42
124436,701839,32424.23
143377,1026985,26617.7
395299,1076617,35985.68
8937,1263896,30045.62
430386,1097961,45033.26
149399,1077280,58815.13
238632,247290,89576.92
786537,189619,31791
250834,1372264,27238.33
454936,1026985,103246.94
50048,423404,38076.44
214397,378222,65984.03
321373,708896,27856.42
48216,1117734,11803.02
945023,1358761,95663.78
166833,1158067,32502.96
48083,189619,94206.34
77219,1370820,97766.75
118052,399368,83969.17
76968,148167,33331.44
290501,1013868,27128.83
38601,364238,35244.06
117795,1066440,27333.76
181783,1022798,76797.97
203818,1009655,68665.53
49872,305787,29421.55
131766,185656,107587.73
238485,1190983,26071.88
149731,957442,28056.94
203744,1348676,96300.69
241025,1443231,57837.74
211650,126540,30935.44
418080,713763,62855.91
90550,1073023,33735.6
84633,1031439,92427.63
115501,243948,32743.15
53610,1027361,27402.11
225103,1180362,33730.26
245085,1305787,31744.19
180440,977961,36521.37
137048,1193589,70178.46
39245,812627,59719.86
125422,1273137,29990.88
55939,92068,45830.45
95207,977180,27882.19
455817,444998,73637.16
404663,47481,46257.77
10804,168401,33405.4
189199,1268404,30462.48
30770,227055,42165.46
236887,240626,84997.66
1513883,1311946,27100.72
3014,1236301,45851.05
220336,1018369,33317.27
79644,1236911,30644.66
540803,160943,63723.34
422532,1030696,23918.21
59255,44605,65437.19
87542,952122,55582.73
100073,963275,30826.35
90550,68541,32043.25
59108,256322,32419.85
283492,130325,27391.09
421788,107141,23276.51
170879,141346,32907.28
127297,633675,29953.5
48083,243948,27515.55
51148,1326806,29643.82
186652,1022431,30883.19
111123,679250,32587.77
16072,1367172,65718.03
234433,455508,109396.1
154487,1154783,56959.68
654689,947127,26301.86
230891,962390,73051.34
778664,261562,32774.48
165651,1073903,36894.43
234687,930010,92721.39
64352,212817,27889.37
50581,1360637,28989.53
218822,661946,56235.91
302937,101891,60037.2
89178,565528,43768.31
269223,703842,27348.18
229317,319591,34603.97
108258,224583,62437.05
232970,1194053,29185.82
181681,265917,31518.31
236714,800713,28608.64
58129,212625,82161.88
216521,1512252,28912.3
509,90053,24056.88
142875,91572,60364.38
435287,1026588,89118.56
282990,947724,27951.4
104438,1084260,71301.08
80321,1180675,41685.53
87638,972376,78590.51
469906,410139,48130.05
180440,1118262,31703.8
83103,1177706,32204.54
16242,1437986,86277.17
743417,124127,68336
221992,298165,37231.43
276485,1117908,31180.59
170254,1066444,18866.57
104924,365479,25755.71
69184,973091,30626.57
164539,211740,33089.5
147652,882406,26774.24
1316701,340449,33311.85
158918,8573,38896.37
61062,107399,26381.18
336178,963718,33904.32
1513883,349275,30961.81
581834,1373678,33216.99
138412,117851,44349.12
237446,1091558,37083.36
217204,1394092,40485.91
4635,125389,81857.6
168279,1010034,42051.89
145084,972702,69125.24
192727,272233,80077.36
190417,278940,65011.54
10043,957791,28691.37
6245,199926,26342.35
242115,46456,32910.99
61586,343542,85401.61
217204,149399,29585.69
243796,338263,35010.87
315718,190198,28511.44
49604,289944,52708.92
147527,22813,82202.05
775645,1115274,51778
112912,1104686,105446.19
77938,122606,68793.75
109005,189619,26212.48
484860,1026727,59885.31
13421,1034248,38080.06
174686,234687,46811.3
64352,42310,85285.96
18936,467469,29616.91
16072,1315505,39484.84
116999,948010,35403.47
55405,130058,28988.32
517880,637711,23851.04
350127,1243976,78477.61
7274,93222,105626.26
260994,968712,33782.08
1375,241962,33665.63
422126,143933,49401.69
714603,186992,39623.16
4837,564484,36503.99
190459,5230,74363.06
438835,592304,46263.45
217083,981655,93993.65
32625,1073641,71560.01
282700,68541,34074.43
174261,1277001,26613.52
413130,427042,30085.5
46773,961614,35048.88
302954,43654,30899.84
114453,1095074,65998.52
189644,224583,45922.11
212386,1407264,27097.63
1095218,1534125,51734.51
135959,1014070,36402.13
229687,997089,28579.39
17719,1234089,57081.96
66570,2994,30050.26
243010,1414482,38263.78
41680,1065678,48055.04
143377,583885,28099.73
946025,127214,48220.73
115887,713973,27326.78
6959,195301,29088.64
143014,155538,25612.83
470133,106459,33317.03
667125,243269,47891.87
163507,1587547,27453.93
150443,1157725,30544.04
212903,1217191,30334.68
169569,201881,33309.91
98664,249684,115787.24
225368,263153,86182.11
193763,31384,36483.48
212414,310741,28720.8
668954,992502,100951
161835,319591,82324.72
128353,239176,32048.08
751097,329503,24441.92
253756,1139393,31964.43
29318,60743,56995.14
166378,82574,30919.66
65228,946875,87769.47
173244,101891,33750.47
454936,212386,74308.14
144501,71443,59785.54
249696,1042761,37335.19
261475,1593446,31184.78
247331,153720,36210.61
247088,304610,84552.19
51683,1274880,31370.07
32133,54337,37845.39
171101,180766,56033.98
190349,1341361,30320.54
10043,737060,23529.56
174261,1084260,28755.69
66814,115715,35868.65
42048,88364,26569.43
159206,633675,41168.48
232533,196754,29600.53
10804,963675,34874.1
149973,125389,61795
202335,736826,83589.59
102784,295130,32447.2
135598,1026039,35003.03
80204,649611,33613.04
823354,505502,79003.06
48216,1026727,33370.76
218822,247766,31901.4
181972,328550,83379.63
757189,890964,31448.92
49685,765827,35729.88
223733,1400191,74440.27
29278,20427,33017.86
303694,978192,69676.59
505018,91247,36651.36
38601,1241556,84213.49
22019,1163656,28347.59
113064,1154783,99424.82
27131,1336336,28498.28
46676,609388,28720.21
296743,1077227,75034.21
8937,298165,27568.82
404714,265917,30734.26
220054,708896,91712.59
623864,15613,33297.67
214258,85655,35533.93
129510,1094599,28515.88
237057,167042,26047.11
198228,137481,61852.91
3014,1030290,79522.2
169367,473781,80998.8
184747,110441,48394.02
177056,1243708,65833.55
248143,1311805,31283.58
187121,1253163,32739.76
450998,962843,23190.14
605101,289944,25888.43
360360,419647,33466.33
254805,1169773,112006.18
37187,305787,34534.94
237057,618708,92636.42
501489,470624,107872.55
50038,1105064,28924.99
261355,172049,33461.23
29318,1118262,62367.42
66216,946075,34684.49
211892,946485,24605.76
68337,1136469,34330.22
511372,1001173,105240.49
231824,1031111,33995.14
21430,224583,28307.33
185692,95514,57472.43
74156,1229580,32512.24
129995,1537903,23856.84
13345,192333,80654.71
221899,160943,32981.44
168396,260205,73024.68
211892,372250,28281.66
32510,1000303,64591.08
181989,68541,33607.76
422628,1042460,29104.25
11046,484778,80715.56
107975,1108663,33961.04
752307,130614,32547.35
58577,1219734,29766.81
470133,267114,88341.28
209941,207752,28024.96
883113,265980,27704.05
195306,3224,27781.61
144827,289944,82245.71
374330,942843,85212.08
83582,1201732,32497.74
254822,1407264,66196.58
50048,1190870,108665.28
257141,300205,77242.41
105792,619526,32386.15
133383,131989,57496.24
49643,152625,23627.4
225655,978106,88135.29
225928,84517,32515.55
253226,365479,30400.87
114399,1014577,22529.04
315131,133496,25549.55
438595,967853,68085.61
37187,2752,32236.44
169367,1018457,28755.57
253615,197694,43012.14
50048,1039384,31168.89
834375,1488297,31561.25
123227,262051,26420.17
55063,961807,90004.36
11415,34410,28746.43
904817,1389507,18318.38
233833,1000318,23643.78
89178,106338,33544.39
57357,6350,32651.45
255759,133391,78302.02
81783,1336294,31233.89
185867,67723,31612.76
554572,571335,31603.96
470355,100509,92398.56
74616,212926,54079.98
109582,117081,26088.34
171833,1285494,31135.52
268827,120330,29534.44
66570,1026061,37192.22
218455,1139652,27737.87
29278,1444458,26597.57
336178,1058111,33009.35
223677,1372264,33929.35
1023558,191940,27557.51
276232,236818,80565.01
189443,1304231,32174.84
806727,1062769,33621.87
112828,28529,35397.46
234811,328701,32579.59
194625,1268479,19737.19
642370,991156,36569.16
259609,18753,24773.94
321613,252770,79417.97
71279,447248,48247.38
200026,87528,39011.32
757212,1241556,49447.17
79802,1332390,28060.24
71382,506484,34035.37
1080069,1252957,57314.25
205986,1031111,72194.82
144479,1355519,66725.74
257051,236441,19454.73
10804,22036,28043.08
223004,202999,30714.28
112717,227055,41475.7
210028,708896,25013.83
16072,1289639,30273.52
315131,194566,25326.28
150217,991929,29258.64
179408,1180675,23176.86
50838,1066178,32385.56
104438,17276,30669.1
259304,1083872,83150.48
212199,210936,63338.38
135959,1386457,26390.72
179141,109617,27871.31
150336,1070217,27209
84125,987959,79835.39
246357,944722,30088.76
59547,1018457,40907.13
834483,1287810,30680.92
40136,987526,83361.92
170254,101891,35949.32
125359,447248,80206.46
95358,1270813,26823.87
172884,179953,60834.89
21872,1026727,29289.21
116570,1351944,32000.05
3453,1071229,69799.08
13380,1163389,51975.3
592322,36922,80946.92
899910,95496,26230.37
62917,571969,43508.57
55063,147275,97822.49
740084,946921,23969.95
327466,133391,37354.85
151154,243948,25984.66
38601,1279076,31332.17
99038,224812,33146.23
211740,1163491,57133.81
174773,645214,33507.78
1204710,1050802,38351.67
45626,1137048,119534.22
765666,1178111,58626.51
59834,1077227,35682.21
652831,240874,82146.15
260563,1186387,31953.99
250327,344880,77336.79
669321,413097,26189.09
163507,1306181,29178.43
67299,1362463,34065.89
422408,942843,55111.33
708434,28529,34933.07
268603,1077370,98781.34
200026,104033,24136.37
221992,967853,21001.71
144955,1151694,38892.71
224753,149399,35844.25
757189,625884,35055.1
594664,1004528,28417.07
76806,1047128,29178.38
175130,1043241,89027.69
150443,1169247,29633.58
52514,947318,36755.68
159206,237322,77395.18
200742,560350,53594.59
83554,1081260,24745.57
162685,1062220,25883.11
111000,1158386,73693.45
207005,188010,60138.64
247162,1115282,37315.13
203904,1073549,29712.34
243973,1108742,31628.78
16956,1583716,27569.46
8369,418974,86961.21
303694,1241732,28771.54
60709,947318,34577.71
237446,167647,92843
161018,68606,75529.92
177611,135295,115668.85
150109,1058530,26626.68
110183,1201589,70694.46
265859,47481,76486.45
327420,162692,54366.33
42310,212441,33828.42
106946,278807,31408.11
164320,261953,82851.83
11605,565528,28512.12
276477,188175,49632.91
730518,13016,61966.9
779788,1231515,84130.04
78538,890964,67928.3
29645,128580,35248.35
203033,201881,31386.89
163973,13016,26936.86
117290,1023109,27355.32
607610,1330598,69436.55
163653,1073023,35888.05
64156,370639,30856.61
168383,946950,29123.87
200540,243796,75651.54
10043,1050096,34865.86
112136,1136469,36102.19
232536,1507078,25298.59
360360,342762,27994.92
395342,328701,36195.12
937210,24724,30796.31
455817,1222018,29019.65
186046,957355,29316.53
1430542,1490301,70444.25
6380,1287509,31539.56
76745,1489277,56793.89
811655,1274880,84090.41
65286,62456,49109.99
163973,1326780,38569.17
29720,1142679,33901.77
171833,243948,27866.44
169611,207752,28692.66
143386,996985,32299.94
232555,139486,34997.42
149399,49889,53800.83
238632,1014096,96044.18
527705,1118421,29110.45
8615,276415,26397.85
801840,1123852,27873.34
64178,1133460,29042.64
701537,1022396,42798.14
117081,1307772,64781.74
95162,952503,25836.64
268347,284926,48231.07
135399,592136,31736.48
235412,228774,114963.51
80500,244972,28853.97
67927,186992,36273.08
83554,1278926,27829.25
200540,83730,28309.17
84633,94249,27822.01
65762,1081210,77833.46
82005,804960,59926.99
251364,24953,30093.09
312883,868395,30574.85
137048,846258,78343.24
241143,604615,33797.68
566079,549712,30865.12
178345,167891,84037.77
163973,742917,29109.35
136840,221554,32005.26
255759,175635,66699.89
14888,149399,27480.54
73376,663676,61241.23
172237,219337,71127.16
79644,976765,32419.25
268298,1038210,31561.27
211153,982615,30120.13
177611,181872,100361.99
210199,186992,38934.79
208047,958288,29122.62
275542,157484,35895.1
435287,1332390,68461.38
225928,1296093,37446.48
107701,505502,32937.74
46676,1219734,31195.82
184747,1030526,56884.97
189783,141346,29626.02
96125,798308,30790.99
167858,1102121,33088.82
93754,1154601,37536.23
164811,1158067,25254.7
46388,307288,71001.24
290501,278807,30199.77
76745,183847,33913.19
123035,972477,51557.78
791586,190417,78386.34
31787,1158386,27665.15
940877,192320,29118.5
89759,961735,24458.04
268631,1447076,27020.5
229410,79499,26999.72
289986,83308,62148.23
260344,1006094,88951.39
669321,1278926,30105.54
197182,972477,62891.94
194017,1105539,62052.73
338521,107399,65380.05
9368,1127111,29107.56
527424,701839,86138.82
202426,48170,34225.37
381223,179225,29932.95
229687,1140111,78974.48
225541,961807,24220.21
127297,172998,68189.84
765718,90232,25456.6
54676,1253163,43118.73
203818,1386457,80995.42
230689,47672,31492.11
179408,1498894,23334.7
714603,54337,48458.02
182959,961807,29241.35
147566,72925,58324.94
11461,1522731,33424.71
48083,1054094,31207.78
1550,1077227,25191.26
76968,122606,24637.68
207471,174912,35073.12
253253,1337706,100555.38
141846,354620,67673.96
104438,821072,43851.45
302780,890964,28788.25
937210,33763,27213.74
730518,1286015,37386.31
249399,117851,80039.44
233833,30278,56433.14
220748,244972,36060.14
6547,1111653,29634.35
804266,1030526,33518.55
260356,156521,32776.46
195306,999382,34118.8
688692,1358761,30549.03
81332,1299952,26586.32
115501,952446,30382.62
161839,184826,56613.79
6959,1114432,26861.74
220829,405323,26515.79
62320,505502,33515.66
187903,1263799,29603.23
450998,794252,45473.51
203645,1013868,60097.96
2720,227195,27544.48
349762,1102121,27702.52
124436,801732,32651.42
151828,1077280,29446.73
74193,1014217,34996.11
18753,1296093,29502.24
658851,1034824,38805.97
46676,1054886,32632.34
861002,278807,23982.04
642370,1031439,72765.93
100394,997089,72115.26
13345,62456,29319.48
730690,1118378,74265.99
175173,384218,113048.48
349762,957074,22050.49
190459,139419,60651.94
93754,1102121,33582.63
139278,1018301,70058.06
64352,324056,29259.19
81919,242886,80437.32
27131,247019,34399.29
290115,127903,31992.83
9865,1410271,49739.37
66970,901850,35187.96
143223,1199242,48762.4
79024,1127802,33998.97
801840,1062063,31868.24
179408,227055,28531.62
67927,1018457,28663.21
53574,637711,101199.49
64972,978192,29594.79
224275,256229,58367.85
83582,924867,75503.9
143935,1017926,29362.2
171281,204935,31924.11
495091,1255247,32839.44
49070,703842,44620.21
51390,303201,69935.19
239763,11711,32604.3
165987,2994,55039.16
154920,1157883,30431.49
29628,1090807,32477.69
184826,1009876,25294.95
57357,1294265,26243.26
250327,15558,40742.16
349679,588871,32290.71
161508,232533,31827.28
229687,982301,31811.04
321052,1030376,76671.76
640057,1169773,36252.85
12541,695991,38009.63
86047,1058111,115417.34
670968,75455,29677.1
775645,180042,32775.86
309090,184962,79459.45
74156,178609,27007.69
143863,1058530,72432.52
110998,1118008,32009.81
71382,172998,33046.44
144479,406420,57656.5
83635,41658,26615.94
112828,981802,46194.55
469906,1042460,67118.13
141544,206464,31241.97
1080069,73420,36879.05
303034,149646,36228.77
134007,1180641,40962.66
147095,90232,35255.55
141415,148573,65637.17
127297,354620,49699.76
104835,128568,72956.31
338918,235015,28335.4
164320,153720,75698.06
80097,1142679,24662.12
189255,197694,29383.73
208355,247766,26416.8
245085,1054010,27251.53
88392,228811,64246.37
163973,597523,85567.03
237328,1518935,90694.67
221491,177250,74328.72
149202,1001173,30295.64
257141,249965,69323.41
102784,87528,25402.64
137849,201881,26968.82
40385,1157498,91919.23
24531,968712,55699.76
296781,968028,79525.44
93598,1114375,28198.08
203033,1154783,26474.81
881285,28529,33604.58
175087,243269,84145.51
831062,1166280,30212.9
651008,1398415,27412.24
694328,1154783,87402.79
194625,1077370,78549.56
79895,281225,30743.15
229410,79499,60097.96
268857,1336294,32318.59
715653,131989,103701.57
135269,1374024,39412.13
158008,1148624,62172.91
150345,1101823,31838.85
349679,961614,107542.46
22946,262261,35074.88
171146,951838,61265.32
93754,345785,30682.33
21872,290159,48587.69
180456,1355535,89732
7403,141346,80818.23
103449,87552,20611.1
40385,118287,30314.59
23305,1334178,86686.62
302935,8573,30676.24
41410,300314,28728.46
243068,997016,112149.36
223947,1043274,76188.33
35397,1286015,48115.59
76426,105036,31883.47
806727,470624,78191.07
32966,1080199,97472.14
66679,1111661,34163.62
228208,1507078,53225.86
155973,977811,35967.57
145098,44605,27213.48
43474,1554544,52496.9
26378,172126,62447.56
253897,972477,29642.1
18855,1427152,102105.38
806727,1038210,12335.37
210662,71279,26036.74
200324,996078,26591.02
524390,1285638,75645.13
174261,1455776,31605.57
560643,1266114,26105.19
309563,1104781,32730.26
156178,1304231,24860.11
879631,946889,89709.82
107418,945857,48678.33
1404719,1289639,71370.03
85,1364205,31874.58
200540,239636,26073.69
249696,1166280,32375.98
209035,1001311,30448.05
159075,342762,30660.02
225928,1343095,30841.4
184747,701839,65679.92
83554,991144,25152.92
253615,87552,26625.05
594664,812627,41060.09
19706,1488297,65585.41
484212,947560,29151.21
168396,82034,26876.91
135399,1308141,31843.04
251417,120330,64433.65
248572,1250393,35994.53
682687,968125,36526.51
899853,1104881,24818.06
261475,1556325,34931.51
1097364,22264,35040.32
177056,188175,27200.08
160744,1139656,83915.59
208047,171833,85193.15
50038,1266628,89370.94
268298,1336205,35283.91
254805,802734,93989.37
222459,1325061,34545.52
116726,105036,35461.88
37187,1104881,64183.07
142829,987561,65960.55
19269,110284,71133.3
64352,136217,60626.19
55405,999382,28671.65
185599,81281,70366.77
243010,1362463,34134.83
2828,261666,123104.06
730518,93236,23823.87
435189,130325,82238.42
177795,199926,73707.93
8230,36922,32949.84
909204,1355535,35876.1
225936,100736,27565.67
28529,1127925,60064.79
66679,1026220,33480.42
66216,184448,59416.61
232970,189606,34313.39
234182,103232,52861.08
189443,155538,22296.59
123035,78426,31098.2
135651,1022833,32155.08
283251,237360,78813.64
61493,945758,101160.82
276388,952604,53015.12
143863,1311946,30242.84
259934,661259,48537.57
208449,341306,29583.68
83635,22813,67028.17
609603,946921,22266.71
12541,291211,70525.45
13003,1017804,88432.52
180456,6126,24919.65
168893,174912,31050.03
189541,1463132,31971.1
155031,1490485,57183.96
162589,24953,90231.34
82034,383796,26302.7
338918,951942,34924.18
338918,987695,38173.35
885805,148026,28311.31
103850,1000095,27767.25
257051,319591,27261.49
197182,613136,25852.7
257141,1076743,41209.1
125359,180988,37177.4
117290,1214883,33136.49
195723,991144,27501.52
87921,645214,29406.5
289583,130902,27040.64
537223,1026727,33942.41
224320,172126,64446.38
40955,1214883,31400.51
13345,1081134,46369.83
243973,962763,74221.46
128353,365479,25166.05
223171,848844,57396.88
142829,1087493,30446.56
182021,588562,53006.57
706677,981592,56105.39
23344,1054010,34660.19
23838,66730,28259.73
20302,1207374,47963.38
1058957,185223,27599.35
178030,444998,59232.38
